K, Recall
1, 0.16666666666666666
1, 0.16666666666666666
2, 0.3333333333333333
3, 0.3333333333333333
4, 0.3333333333333333
5, 0.3333333333333333
6, 0.5
7, 0.5
8, 0.5
9, 0.5
10, 0.5
11, 0.5
12, 0.5
13, 0.5
14, 0.5
15, 0.5
16, 0.5
17, 0.5
18, 0.5
19, 0.5
20, 0.5
21, 0.5
22, 0.5
23, 0.5
24, 0.5
25, 0.5
26, 0.5
27, 0.5
28, 0.5
29, 0.5
30, 0.5
31, 0.5
32, 0.5
33, 0.5
34, 0.5
35, 0.5
36, 0.5
37, 0.5
38, 0.5
39, 0.6666666666666666
40, 0.6666666666666666
41, 0.6666666666666666
42, 0.6666666666666666
43, 0.6666666666666666
44, 0.6666666666666666
45, 0.6666666666666666
46, 0.6666666666666666
47, 0.6666666666666666
48, 0.6666666666666666
49, 0.6666666666666666
50, 0.6666666666666666
51, 0.6666666666666666
52, 0.6666666666666666
53, 0.6666666666666666
54, 0.6666666666666666
55, 0.6666666666666666
56, 0.6666666666666666
57, 0.6666666666666666
58, 0.6666666666666666
59, 0.6666666666666666
60, 0.6666666666666666
61, 0.6666666666666666
62, 0.6666666666666666
63, 0.6666666666666666
64, 0.6666666666666666
65, 0.6666666666666666
66, 0.6666666666666666
67, 0.6666666666666666
68, 0.6666666666666666
69, 0.6666666666666666
70, 0.6666666666666666
71, 0.6666666666666666
72, 0.6666666666666666
73, 0.6666666666666666
74, 0.6666666666666666
75, 0.6666666666666666
76, 0.6666666666666666
77, 0.6666666666666666
78, 0.6666666666666666
79, 0.6666666666666666
80, 0.6666666666666666
81, 0.6666666666666666
82, 0.6666666666666666
83, 0.6666666666666666
84, 0.6666666666666666
85, 0.6666666666666666
86, 0.6666666666666666
87, 0.6666666666666666
88, 0.6666666666666666
89, 0.6666666666666666
90, 0.6666666666666666
91, 0.6666666666666666
92, 0.6666666666666666
93, 0.6666666666666666
94, 0.6666666666666666
95, 0.6666666666666666
96, 0.6666666666666666
97, 0.6666666666666666
98, 0.6666666666666666
99, 0.6666666666666666
100, 0.6666666666666666
101, 0.6666666666666666
102, 0.6666666666666666
103, 0.6666666666666666
104, 0.6666666666666666
105, 0.6666666666666666
106, 0.6666666666666666
107, 0.6666666666666666
108, 0.6666666666666666
109, 0.6666666666666666
110, 0.6666666666666666
111, 0.6666666666666666
112, 0.6666666666666666
113, 0.6666666666666666
114, 0.6666666666666666
115, 0.6666666666666666
116, 0.6666666666666666
117, 0.6666666666666666
118, 0.6666666666666666
119, 0.6666666666666666
120, 0.6666666666666666
121, 0.6666666666666666
122, 0.6666666666666666
123, 0.6666666666666666
124, 0.6666666666666666
